;idade;flag_aceito;sexo;departamento
0;41.93831621588973;0;M;A
1;39.21611821618974;0;M;A
2;40.68614763235229;0;M;A
3;28.523798040455056;1;M;A
4;37.80598641918204;1;M;A
5;37.01638190570212;1;M;A
6;35.02759114615294;0;M;A
7;37.40511364137956;1;M;A
8;38.04202128771099;0;M;A
9;43.99927713442236;1;M;A
10;39.16917396467003;1;M;A
11;30.021628716166596;1;M;A
12;33.16161700678216;1;M;A
13;35.36243021582167;1;M;A
14;30.58419230460577;1;M;A
15;38.11544796724964;1;M;A
16;40.09834427207082;1;M;A
17;34.25580457830042;1;M;A
18;40.768049172216536;0;M;A
19;34.530846043976375;1;M;A
20;36.66360959453123;1;M;A
21;32.55589369337858;0;M;A
22;33.38454789495781;1;M;A
23;39.38314913589786;1;M;A
24;40.8622307910256;1;M;A
25;40.43947937317624;1;M;A
26;38.96351876117998;0;M;A
27;43.05706826497328;1;M;A
28;35.99996709342062;0;M;A
29;35.79394181527072;0;M;A
30;45.340262251436776;1;M;A
31;43.28781225103681;1;M;A
32;32.47648087189221;1;M;A
33;35.35210076035655;1;M;A
34;34.26829553775536;0;M;A
35;38.64139847850117;0;M;A
36;39.63406253007551;0;M;A
37;48.48125162746942;1;M;A
38;50.2170427543142;0;M;A
39;37.10731243295821;1;M;A
40;35.5518123953186;1;M;A
41;32.399173678790376;1;M;A
42;33.696292232470604;0;M;A
43;40.301433175959296;0;M;A
44;37.57297844280363;1;M;A
45;39.24038598765015;1;M;A
46;34.55585582864652;1;M;A
47;31.468033429123544;1;M;A
48;28.161552388029992;1;M;A
49;36.28045349256318;0;M;A
50;35.7539141532826;1;M;A
51;34.04583680462814;1;M;A
52;40.16170981825989;1;M;A
53;42.16547385759724;0;M;A
54;35.17876469521554;1;M;A
55;41.72740210501139;0;M;A
56;36.1254819613263;1;M;A
57;48.79015946295861;0;M;A
58;44.52403847359192;0;M;A
59;33.28210751963333;1;M;A
60;36.88561359189016;0;M;A
61;35.57430947934481;1;M;A
62;31.23664294415567;0;M;A
63;52.85744260980711;1;M;A
64;41.95505670446073;0;M;A
65;38.319057705561114;0;M;A
66;34.855061916296115;1;M;A
67;34.52113889722671;1;M;A
68;51.01272870552079;1;M;A
69;49.16790784198764;0;M;A
70;30.835868133710544;1;M;A
71;44.0530163045677;0;M;A
72;38.326444282228714;1;M;A
73;38.29438957211345;0;M;A
74;41.57488547266347;1;M;A
75;34.977962379595695;1;M;A
76;29.084339528520996;1;M;A
77;46.08022582363928;1;M;A
78;46.777578803045955;0;M;A
79;43.368958634806724;1;M;A
80;42.842477901977915;0;M;A
81;32.88905870125939;1;M;A
82;46.55794101298741;0;M;A
83;33.327240519396355;0;M;A
84;40.79654995334907;0;M;A
85;42.73456897247979;1;M;A
86;39.675276240104594;0;M;A
87;38.92576493505461;0;M;A
88;30.795318448606864;0;M;A
89;38.7897966412348;0;M;A
90;36.772446974689146;1;M;A
91;43.490093517362816;0;M;A
92;41.763426044580136;1;M;A
93;36.867412233118785;0;M;A
94;39.70701279550565;1;M;A
95;46.877028862326426;0;M;A
96;45.773552557137094;0;M;A
97;37.92408671483427;1;M;A
98;40.248368630058565;1;M;A
99;40.29563933264861;0;M;A
100;37.29484739618442;0;M;A
101;33.134878047580095;1;M;A
102;34.654991765986495;1;M;A
103;40.492088772890995;0;M;A
104;47.545863494206124;1;M;A
105;35.18837641781524;1;M;A
106;37.25461359285017;1;M;A
107;42.17961723748456;1;M;A
108;43.548015102115066;1;M;A
109;47.189187553507395;1;M;A
110;41.62864077062462;0;M;A
111;33.57543406023736;0;M;A
112;37.3689948479456;0;M;A
113;31.064390153664064;0;M;A
114;39.98245911523925;1;M;A
115;41.83041811168435;1;M;A
116;31.076936597343533;1;M;A
117;28.821595365232746;1;M;A
118;35.37782306915173;0;M;A
119;36.27436411673013;1;M;A
120;32.954689945480766;1;M;A
121;46.694218799172525;1;M;A
122;43.95641161537655;1;M;A
123;32.61855054668462;0;M;A
124;39.11183092291328;0;M;A
125;29.82864141922449;1;M;A
126;30.663234832991506;1;M;A
127;43.72646913153585;1;M;A
128;40.69617704087161;0;M;A
129;46.46012349585712;0;M;A
130;35.047093937008434;1;M;A
131;38.06982972895721;0;M;A
132;44.585023291027824;1;M;A
133;30.201188478516706;0;M;A
134;36.234655205289066;1;M;A
135;37.674838657481125;1;M;A
136;39.61596503034863;1;M;A
137;39.08506351972164;0;M;A
138;41.55058219659648;0;M;A
139;40.83381072129923;0;M;A
140;34.29074970110344;0;M;A
141;40.09454550183785;1;M;A
142;31.70624493271179;1;M;A
143;41.901144544208414;1;M;A
144;28.91209657980898;0;M;A
145;39.672597525279286;1;M;A
146;45.84263335688421;0;M;A
147;30.08100965131617;1;M;A
148;36.09795919482424;1;M;A
149;33.611316298321086;0;M;A
150;34.05427865481046;0;M;A
151;41.85952245913509;1;M;A
152;31.673533361893476;0;M;A
153;34.6834077125051;1;M;A
154;49.8368581239979;1;M;A
155;38.15110145058587;1;M;A
156;34.50646084567204;0;M;A
157;45.47841070746453;0;M;A
158;40.2954939674189;0;M;A
159;40.52014714194646;1;M;A
160;38.99145531986194;1;M;A
161;34.072479324279634;1;M;A
162;39.87260188308563;0;M;A
163;39.5969326999831;0;M;A
164;34.51253370232993;1;M;A
165;36.868587668643364;0;M;A
166;32.196844959702425;1;M;A
167;32.5535684279617;0;M;A
168;43.425809606432594;1;M;A
169;37.56338811967301;1;M;A
170;35.84447854181508;1;M;A
171;38.304278537379865;1;M;A
172;35.319485660903425;0;M;A
173;43.670818687828465;1;M;A
174;35.46091737225667;1;M;A
175;33.47376083353273;1;M;A
176;33.344178879721035;0;M;A
177;33.865768922184294;1;M;A
178;31.2794053654516;0;M;A
179;34.690204161872195;1;M;A
180;43.09872790578514;1;M;A
181;38.26785432219893;1;M;A
182;37.97208106905467;0;M;A
183;40.815376743033255;1;M;A
184;36.03470909013276;1;M;A
185;38.925327336130934;1;M;A
186;41.317195959053194;1;M;A
187;36.29600155092577;0;M;A
188;39.37562559954633;1;M;A
189;37.72637118007117;0;M;A
190;45.728502894011925;0;M;A
191;35.88399263845744;1;M;A
192;37.51059703703622;1;M;A
193;40.65650619249738;1;M;A
194;31.439439912432476;1;M;A
195;46.407138446987894;0;M;A
196;34.403717204138076;1;M;A
197;38.88246125610743;0;M;A
198;41.956037072332364;1;M;A
199;35.9126695686437;1;M;A
200;37.48238605446242;1;M;A
201;42.01843558629291;1;M;A
202;32.22625508918793;0;M;A
203;34.62193592388045;1;M;A
204;40.54144659965846;1;M;A
205;38.265732809194965;1;M;A
206;36.27136937797052;0;M;A
207;31.236083373274507;1;M;A
208;34.40040354839925;0;M;A
209;36.907303878518896;0;M;A
210;39.92039016992063;0;M;A
211;35.414590807834905;1;M;A
212;39.50560073071022;1;M;A
213;45.388742790116574;0;M;A
214;39.02263610152354;1;M;A
215;36.59248611468737;1;M;A
216;36.475279865806804;0;M;A
217;36.736332161724754;1;M;A
218;28.683631059157896;1;M;A
219;32.65571378322564;0;M;A
220;38.68112743788704;1;M;A
221;28.920143448650286;1;M;A
222;36.919424810099805;1;M;A
223;31.20711370239633;1;M;A
224;46.46121483890412;0;M;A
225;41.93248812682002;0;M;A
226;34.139411943665166;1;M;A
227;36.05538137403004;1;M;A
228;32.54694895412427;1;M;A
229;51.29926771160201;1;M;A
230;47.93941334650007;1;M;A
231;36.09504150407441;1;M;A
232;41.44512940057205;1;M;A
233;36.2070102904223;1;M;A
234;34.49966911642052;1;M;A
235;34.5959506478613;0;M;A
236;36.3031374751721;1;M;A
237;28.423099402002826;1;M;A
238;35.04242581432919;1;M;A
239;41.7295254628431;1;M;A
240;38.92682166752278;0;M;A
241;44.05415346251275;1;M;A
242;40.555193703419945;1;M;A
243;40.180740160044515;1;M;A
244;43.58914386743084;0;M;A
245;24.9868976715563;1;M;A
246;43.58836130017443;0;M;A
247;37.34316905207731;1;M;A
248;41.547167079660795;1;M;A
249;41.8262731378126;0;M;A
250;30.454209546613672;1;M;A
251;35.35784350526459;0;M;A
252;34.965713810307605;0;M;A
253;29.59007855684999;1;M;A
254;29.80030482022284;1;M;A
255;34.47833047019669;1;M;A
256;44.64012056175937;0;M;A
